codigo,long,lat,alt 1,estacion
28079040,"3º 39' 05,48'' W","40º 23' 17,34'' N",677,Vallecas
28079054,3º 36' 43'' O,40º 22' 22'' N,630,Ensanche de Vallecas
28079056,3º 43' 7'' W,40º 23' 05'' N,605,Plaza Fernández Ladreda
28079059,3º 36' 32'' W,40º 27' 54'' N,669,Juan Carlos I
28079058,"3º 46' 28,6"" O","40º 31' 5"" N",616,El Pardo
28079008,"3º 40' 56,35'' W","40º 25' 17,63'' N",672,Escuelas Aguirre
28079039,"3º 42' 41,55'' W","40º 28' 41,62'' N",673,Barrio del Pilar
28079004,"3º 42' 44.40""W","40º 25' 26.37""N",637,Plaza de España
28079017,"3º 42' 47,98"" W","40º 20' 49,56"" N",601,Villaverde
28079018,"3º 43' 54,60'' W","40º 23' 41,20'' N",581,Farolillo
28079035,"3º 42' 11,42'' W","40º 25' 09,15'' N",657,Plaza del Carmen
28079050,"3º 41' 19"" O","40º 27' 56"" N",728,Plaza de Castilla
28079016,"3º 38' 21,24'' W","40º 26' 24,17'' N",698,Arturo Soria
28079027,"3º 34' 48,10'' W","40º 28' 36,94'' N",631,Barajas Pueblo
28079024,"3º 44' 50,44'' W","40º 25' 09,68'' N",645,Casa de Campo
28079049,"3º 40' 57"" O","40º 24' 52"" N",662,Retiro
28079011,"3º 40' 38,47'' W","40º 27' 05,30'' N",708,Ramón y Cajal
28079055,3º 34' 50'' W,40º 27' 45'' N,619,Urbanización Embajada
28079048,3º 41' 25'' O,40º 26' 23'' N,676,Castellana
28079057,"3º 39' 37,8"" O","40º 29' 39,1"" N",700,Sanchinarro
28079047,"3º 41' 12"" O","40º 23' 53"" N",609,Méndez Álvaro
28079036,"3º 38' 43,06'' W","40º 24' 28,64'' N",671,Moratalaz
28079060,3º 41' 23' O,40º 30' 02'' N,715,Tres Olivos
28079038,"3º 42' 25,66'' W","40º 26' 43,95"" N",699,Cuatro Caminos
